system_id,query_id,prompt_sha256,response_sha256,predicted_answer_sha256,raw_response
D,v53e_0001,sha256:94ef6af5509bdf661bbd352e9d0eb9b81169c24c80d5711f7fe8795b97812ce2,sha256:16e7a51dc048d658cb16f1d289d1895042e01d95bd2bdf946c2b2605d7a6032b,sha256:16e7a51dc048d658cb16f1d289d1895042e01d95bd2bdf946c2b2605d7a6032b,"{""answer"": ""Evidence at README.rst:44 supports this bounded audit fact: ``docs/internals/contributing/writing-code/unit-tests.txt``, published online at"", ""external_bake"": true}"
D,v53e_0002,sha256:5a80ce03c9f29b90a7a117378d09a46b0c0c5b0beaa1b1c6cc99efd075b78f2b,sha256:cf0ae0e7e693574f6c571d5345413858012c4a2d2aae2388412f0485f03e9715,sha256:cf0ae0e7e693574f6c571d5345413858012c4a2d2aae2388412f0485f03e9715,"{""answer"": ""Evidence at pyproject.toml:15 supports this bounded audit fact: {name = \""Django Software Foundation\"", email = \""foundation@djangoproject.com\""},"", ""external_bake"": true}"
D,v53e_0003,sha256:0e11e287f5b0ba12f9e69cf237b85193f5bc492e6889ca2e21c7bc907429c45d,sha256:decb5a16a77cb5f02b5c527c180dddc7c128eef59202104d669845f4aecac749,sha256:decb5a16a77cb5f02b5c527c180dddc7c128eef59202104d669845f4aecac749,"{""answer"": ""Evidence at pyproject.toml:45 supports this bounded audit fact: django-admin = \""django.core.management:execute_from_command_line\"""", ""external_bake"": true}"
D,v53e_0004,sha256:448a0bd150b4da8c6e0768bf84d04b3fc29f265cdd54944e6f6a54e0f7b4cd21,sha256:ee3ca7676d02cb47de50bc465768251a24695868b9c0742884b062caa5105769,sha256:ee3ca7676d02cb47de50bc465768251a24695868b9c0742884b062caa5105769,"{""answer"": ""Evidence at pyproject.toml:180 supports this bounded audit fact: \""pytest-sugar>=1.0.0\"","", ""external_bake"": true}"
D,v53e_0005,sha256:ef7cea103ce0669aaee83dc21c87b5644cb486efbe37838c8cbb919c349a5898,sha256:09837b608dbefb7cd3f2e193d5b4f9863f26c49611128193bf9dac0b4e4422ac,sha256:09837b608dbefb7cd3f2e193d5b4f9863f26c49611128193bf9dac0b4e4422ac,"{""answer"": ""Evidence at pyproject.toml:261 supports this bounded audit fact: [tool.coverage.html]"", ""external_bake"": true}"
D,v53e_0006,sha256:deda46f477b1941b37954170d634172dacb66f41a8cfa09c229bfdfb1eaee912,sha256:b806660d8fc0a3bdf30567539c3bf93f506f51189184c0af20db230271af8ae2,sha256:b806660d8fc0a3bdf30567539c3bf93f506f51189184c0af20db230271af8ae2,"{""answer"": ""Evidence at README.md:8 supports this bounded audit fact: sensible defaults out of the box."", ""external_bake"": true}"
D,v53e_0007,sha256:d4fce7fe42bafcfee80465249321bab19bcab888724e938aa9263c1a2ee0b73c,sha256:3e8d5e6dce4ee53ad2c7234c4cb9f4d6579d67b5f34005a796141fa31e7657a6,sha256:3e8d5e6dce4ee53ad2c7234c4cb9f4d6579d67b5f34005a796141fa31e7657a6,"{""answer"": ""Evidence at README.md:16 supports this bounded audit fact: [WSGI]: https://wsgi.readthedocs.io/"", ""external_bake"": true}"
D,v53e_0008,sha256:d1de99b8f8af1cb49b477a397fa9cbd39615ccdda4cd1ae5a9a7f6cb4d04cbc3,sha256:9a2d437d5703f2e3880048b1141c1a87226d5cba875613081dc9be3f6534098b,sha256:9a2d437d5703f2e3880048b1141c1a87226d5cba875613081dc9be3f6534098b,"{""answer"": ""Evidence at examples/javascript/pyproject.toml:12 supports this bounded audit fact: Documentation = \""https://flask.palletsprojects.com/patterns/javascript/\"""", ""external_bake"": true}"
D,v53e_0009,sha256:1a9f5a049807a287d5f9d9b1cf993045b5082acc0d9490a9ff3c4139396b8021,sha256:3fafbe8f29a015222584573c08b5bea234a58a271847e2a3cb27f26345bbc3e1,sha256:3fafbe8f29a015222584573c08b5bea234a58a271847e2a3cb27f26345bbc3e1,"{""answer"": ""Evidence at pyproject.toml:9 supports this bounded audit fact: license = {text = \""Apache-2.0\""}"", ""external_bake"": true}"
D,v53e_0010,sha256:3409545a97f10dbe2627a7425af962a08af985193ac49f14344f1611e09f2f05,sha256:52f8642e3af366152395143f1aebdbe3ba0966cf28e7c8f059ce7caf8849e23b,sha256:52f8642e3af366152395143f1aebdbe3ba0966cf28e7c8f059ce7caf8849e23b,"{""answer"": ""Evidence at pyproject.toml:108 supports this bounded audit fact: quote-style = \""double\"""", ""external_bake"": true}"
