system_id,query_id,expected_answer_sha256,predicted_answer_sha256,wrong_answer,guard_triggered,guard_status
E,v53e_0001,sha256:16e7a51dc048d658cb16f1d289d1895042e01d95bd2bdf946c2b2605d7a6032b,sha256:16e7a51dc048d658cb16f1d289d1895042e01d95bd2bdf946c2b2605d7a6032b,0,0,pass
E,v53e_0002,sha256:cf0ae0e7e693574f6c571d5345413858012c4a2d2aae2388412f0485f03e9715,sha256:cf0ae0e7e693574f6c571d5345413858012c4a2d2aae2388412f0485f03e9715,0,0,pass
E,v53e_0003,sha256:decb5a16a77cb5f02b5c527c180dddc7c128eef59202104d669845f4aecac749,sha256:decb5a16a77cb5f02b5c527c180dddc7c128eef59202104d669845f4aecac749,0,0,pass
E,v53e_0004,sha256:ee3ca7676d02cb47de50bc465768251a24695868b9c0742884b062caa5105769,sha256:ee3ca7676d02cb47de50bc465768251a24695868b9c0742884b062caa5105769,0,0,pass
E,v53e_0005,sha256:09837b608dbefb7cd3f2e193d5b4f9863f26c49611128193bf9dac0b4e4422ac,sha256:09837b608dbefb7cd3f2e193d5b4f9863f26c49611128193bf9dac0b4e4422ac,0,0,pass
E,v53e_0006,sha256:b806660d8fc0a3bdf30567539c3bf93f506f51189184c0af20db230271af8ae2,sha256:b806660d8fc0a3bdf30567539c3bf93f506f51189184c0af20db230271af8ae2,0,0,pass
E,v53e_0007,sha256:3e8d5e6dce4ee53ad2c7234c4cb9f4d6579d67b5f34005a796141fa31e7657a6,sha256:3e8d5e6dce4ee53ad2c7234c4cb9f4d6579d67b5f34005a796141fa31e7657a6,0,0,pass
E,v53e_0008,sha256:9a2d437d5703f2e3880048b1141c1a87226d5cba875613081dc9be3f6534098b,sha256:9a2d437d5703f2e3880048b1141c1a87226d5cba875613081dc9be3f6534098b,0,0,pass
E,v53e_0009,sha256:3fafbe8f29a015222584573c08b5bea234a58a271847e2a3cb27f26345bbc3e1,sha256:3fafbe8f29a015222584573c08b5bea234a58a271847e2a3cb27f26345bbc3e1,0,0,pass
E,v53e_0010,sha256:52f8642e3af366152395143f1aebdbe3ba0966cf28e7c8f059ce7caf8849e23b,sha256:52f8642e3af366152395143f1aebdbe3ba0966cf28e7c8f059ce7caf8849e23b,0,0,pass
E,v53e_0011,sha256:3025e24e1174f92f9b1279c6215bcb2e98ce011ea27e9de74399897043d32668,sha256:3025e24e1174f92f9b1279c6215bcb2e98ce011ea27e9de74399897043d32668,0,0,pass
E,v53e_0012,sha256:08a1ed8d4724d6424674aee64abe91ca63702887f52ec31be378640cc1796af5,sha256:08a1ed8d4724d6424674aee64abe91ca63702887f52ec31be378640cc1796af5,0,0,pass
E,v53e_0013,sha256:38ce250d7a15a75358bc3e46d5fcb96e9ea882753e43a9c1b2305ee0b6c11f98,sha256:38ce250d7a15a75358bc3e46d5fcb96e9ea882753e43a9c1b2305ee0b6c11f98,0,0,pass
E,v53e_0014,sha256:1910a60e261e8618c8a8bfd423e4ff374a7a252909a20aa4abff575fb926835e,sha256:1910a60e261e8618c8a8bfd423e4ff374a7a252909a20aa4abff575fb926835e,0,0,pass
