query_id,repo_id,owner_repo,audit_type,question,expected_answer,expected_answer_sha256,negative_or_abstain,query_family,source_span_id
v53e_0001,django_django,django/django,doc_code_conflict,"[v53e:1] In django/django, what source fact at README.rst:44 should be checked before claiming a doc/code conflict?","Evidence at README.rst:44 supports this bounded audit fact: ``docs/internals/contributing/writing-code/unit-tests.txt``, published online at",sha256:16e7a51dc048d658cb16f1d289d1895042e01d95bd2bdf946c2b2605d7a6032b,0,doc_code_conflict,v53e_0001_span_001
v53e_0002,django_django,django/django,doc_code_conflict,"[v53e:2] In django/django, what source fact at pyproject.toml:15 should be checked before claiming a doc/code conflict?","Evidence at pyproject.toml:15 supports this bounded audit fact: {name = ""Django Software Foundation"", email = ""foundation@djangoproject.com""},",sha256:cf0ae0e7e693574f6c571d5345413858012c4a2d2aae2388412f0485f03e9715,0,doc_code_conflict,v53e_0002_span_001
v53e_0003,django_django,django/django,doc_code_conflict,"[v53e:3] In django/django, what source fact at pyproject.toml:45 should be checked before claiming a doc/code conflict?","Evidence at pyproject.toml:45 supports this bounded audit fact: django-admin = ""django.core.management:execute_from_command_line""",sha256:decb5a16a77cb5f02b5c527c180dddc7c128eef59202104d669845f4aecac749,0,doc_code_conflict,v53e_0003_span_001
v53e_0004,fastapi_fastapi,fastapi/fastapi,doc_code_conflict,"[v53e:4] In fastapi/fastapi, what source fact at pyproject.toml:180 should be checked before claiming a doc/code conflict?","Evidence at pyproject.toml:180 supports this bounded audit fact: ""pytest-sugar>=1.0.0"",",sha256:ee3ca7676d02cb47de50bc465768251a24695868b9c0742884b062caa5105769,0,doc_code_conflict,v53e_0004_span_001
v53e_0005,fastapi_fastapi,fastapi/fastapi,doc_code_conflict,"[v53e:5] In fastapi/fastapi, what source fact at pyproject.toml:261 should be checked before claiming a doc/code conflict?",Evidence at pyproject.toml:261 supports this bounded audit fact: [tool.coverage.html],sha256:09837b608dbefb7cd3f2e193d5b4f9863f26c49611128193bf9dac0b4e4422ac,0,doc_code_conflict,v53e_0005_span_001
v53e_0006,pallets_click,pallets/click,doc_code_conflict,"[v53e:6] In pallets/click, what source fact at README.md:8 should be checked before claiming a doc/code conflict?",Evidence at README.md:8 supports this bounded audit fact: sensible defaults out of the box.,sha256:b806660d8fc0a3bdf30567539c3bf93f506f51189184c0af20db230271af8ae2,0,doc_code_conflict,v53e_0006_span_001
v53e_0007,pallets_flask,pallets/flask,doc_code_conflict,"[v53e:7] In pallets/flask, what source fact at README.md:16 should be checked before claiming a doc/code conflict?",Evidence at README.md:16 supports this bounded audit fact: [WSGI]: https://wsgi.readthedocs.io/,sha256:3e8d5e6dce4ee53ad2c7234c4cb9f4d6579d67b5f34005a796141fa31e7657a6,0,doc_code_conflict,v53e_0007_span_001
v53e_0008,pallets_flask,pallets/flask,doc_code_conflict,"[v53e:8] In pallets/flask, what source fact at examples/javascript/pyproject.toml:12 should be checked before claiming a doc/code conflict?","Evidence at examples/javascript/pyproject.toml:12 supports this bounded audit fact: Documentation = ""https://flask.palletsprojects.com/patterns/javascript/""",sha256:9a2d437d5703f2e3880048b1141c1a87226d5cba875613081dc9be3f6534098b,0,doc_code_conflict,v53e_0008_span_001
v53e_0009,psf_requests,psf/requests,doc_code_conflict,"[v53e:9] In psf/requests, what source fact at pyproject.toml:9 should be checked before claiming a doc/code conflict?","Evidence at pyproject.toml:9 supports this bounded audit fact: license = {text = ""Apache-2.0""}",sha256:3fafbe8f29a015222584573c08b5bea234a58a271847e2a3cb27f26345bbc3e1,0,doc_code_conflict,v53e_0009_span_001
v53e_0010,psf_requests,psf/requests,doc_code_conflict,"[v53e:10] In psf/requests, what source fact at pyproject.toml:108 should be checked before claiming a doc/code conflict?","Evidence at pyproject.toml:108 supports this bounded audit fact: quote-style = ""double""",sha256:52f8642e3af366152395143f1aebdbe3ba0966cf28e7c8f059ce7caf8849e23b,0,doc_code_conflict,v53e_0010_span_001
